5,2,9		CUTSCENE CONTEXT DIALOG				NINJA TRAPPER WARRIOR ALCHEMIST GEISHA TANUKI SHOGUN SHOGUNSON DAIMYO GENERAL BROGUN BROGUNSON	Hayato  Yuki  Ōshiro Mugen Takuma  Aiko  Kuma Shogun Ryūnosuke Yabu Okkoto Noboru Masaru	STORY:	1) Yuki is on her way back to the war camp 2) On the path she spots a Tanuki and realizes it's Takuma's tanuki Kuma. 3) Yuki senses something is wrong. Maybe Kuma. was sent to get help. 4) She decides her friends are more important than delivering the message. 5) She makes the Tanuki lead her to Takuma. 6) The scene is very upbeat, but when Yuki leaves it starts to rain, marking the turn towards a darker mood that is the next level.																												
																																					
TANUKI									While heading for the war camp, Yuki spots Kuma on the road.																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	CEN	DE	CDE	Column1																								
						TITLECARD			The next morning, on the road to Lord Noboru's war camp			#NAME?																									
vocs_over_over_	_n00	vocs_over_over_lakevillage_post_n00				TRAPPER	a little sad, but also happy	has left raft behind	Hah, bè cùi bắp. Giờ ở cái xó này một mình. Nhưng gần tới nơi rồi, đúng không nhỉ?	#NAME?		#NAME?																									
vocs_over_over_	_n01	vocs_over_over_lakevillage_post_n01				TANUKI		tanuki sound	…!			#NAME?																									
vocs_over_over_	_n02	vocs_over_over_lakevillage_post_n02				TRAPPER	surprised		Hey! Là Kuma, phải không?	#NAME?		#NAME?																									
vocs_over_over_	_n03	vocs_over_over_lakevillage_post_n03				TANUKI		tanuki sound	…!			#NAME?																									
vocs_over_over_	_n04	vocs_over_over_lakevillage_post_n04				TRAPPER	curious		Huh? Là…là Takuma-sama ở đây?	#NAME?		#NAME?																									
vocs_over_over_	_n05	vocs_over_over_lakevillage_post_n05				TANUKI		*sits down*	…			#NAME?																									
vocs_over_over_	_n06	vocs_over_over_lakevillage_post_n06				TRAPPER	suspicious	inspects Kuma	Hey, lông mày bị gì thế?	#NAME?		#NAME?																									
vocs_over_over_	_n07	vocs_over_over_lakevillage_post_n07				TRAPPER	shocked	*breathes in quickly*	…máu!	#NAME?		#NAME?																									
vocs_over_over_	_n08	vocs_over_over_lakevillage_post_n08				TANUKI		tanuki sound	…!			#NAME?																									
vocs_over_over_	_n09	vocs_over_over_lakevillage_post_n09				TRAPPER	under pressure		Không… Không, không không! Có gì đó sai sai… Có lẽ thế…	#NAME?		#NAME?																									
vocs_over_over_	_n10	vocs_over_over_lakevillage_post_n10				TRAPPER	under pressure	to herself	Không…không, ngu quá. Chính mày đã nói với Aiko-san là mày phải nhanh lên. Mày đã hứa! …Ngu thật.	#NAME?		#NAME?																									
vocs_over_over_	_n11	vocs_over_over_lakevillage_post_n11				TRAPPER	under pressure	to herself	Không! Mình sẽ giúp! Aiko-san rất thông minh. Mong chị ấy sẽ hiểu cho!	#NAME?		#NAME?																									
vocs_over_over_	_n12	vocs_over_over_lakevillage_post_n12				TANUKI		questioning tanuki sound	…?			#NAME?																									
vocs_over_over_	_n13	vocs_over_over_lakevillage_post_n13				TRAPPER			Cho ta biết! Takuma-sama ở đâu?	#NAME?		#NAME?																									
vocs_over_over_	_n14	vocs_over_over_lakevillage_post_n14				TANUKI			…			#NAME?																									
vocs_over_over_	_n15	vocs_over_over_lakevillage_post_n15				TRAPPER		*imitates the way Takuma calls back Kuma*	Thôi nào! Takuma-sama! Mày biết…	#NAME?		#NAME?																									
vocs_over_over_	_n16	vocs_over_over_lakevillage_post_n16				TANUKI	happy	happy tanuki sound *runs off*	…!!			#NAME?																									
vocs_over_over_	_n17	vocs_over_over_lakevillage_post_n17				TRAPPER	happy	*follows Kuma*	Đúng rồi! Thông minh lắm!	#NAME?		#NAME?																									
																																					
											MISSION-WORDCOUNT DE:	0		TOTAL	NINJA	TRAPPER	WARRIOR	GEISHA	ALCHEMIST	SHOGUN	SHOGUNSON	BROGUN	BROGUNSON	DAIMYO	GENERAL	NARRATOR	OFFICER	ENEMY	STATIC	SAMURAI	OFFICIAL	CIVILIAN M	CIVILIAN F	HUSBAND	GUARD1	GUARD2	FAKE
													Words	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?
													Lines	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?	#NAME?
