2,3,9													
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	EN	EN	CEN	JP	CDE
vo_eny_eny_	daimyo_	death_scream_00	vo_eny_eny_daimyo_death_scream_00	omuk	hambo	Daimyo	shocked	(sound) short deathsound			0		0
vo_eny_eny_	daimyo_	death_scream_01	vo_eny_eny_daimyo_death_scream_01	omuk	hambo	Daimyo	shocked	(sound) short deathsound			0		0
vo_eny_eny_	daimyo_	death_scream_02	vo_eny_eny_daimyo_death_scream_02	omuk	hambo	Daimyo	shocked	(sound) short deathsound			0		0
vo_eny_eny_	daimyo_	death_scream_muffled_00	vo_eny_eny_daimyo_death_scream_muffled_00	omuk	hambo	Daimyo	struggling	(sound) muffled deathsound			0		0
vo_eny_eny_	daimyo_	death_scream_muffled_01	vo_eny_eny_daimyo_death_scream_muffled_01	omuk	hambo	Daimyo	struggling	(sound) muffled deathsound			0		0
vo_eny_eny_	daimyo_	death_scream_muffled_02	vo_eny_eny_daimyo_death_scream_muffled_02	omuk	hambo	Daimyo	struggling	(sound) muffled deathsound			0		0
vo_eny_eny_	daimyo_	detect_corpse_female_00	vo_eny_eny_daimyo_detect_corpse_female_00	omuk		Daimyo	furious	sees a corpse	Ả ta đã chết!	She's dead!	2		0
vo_eny_eny_	daimyo_	detect_corpse_female_01	vo_eny_eny_daimyo_detect_corpse_female_01	omuk		Daimyo	furious	sees a corpse	Chúng đã giết ả ta!	Someone killed her!	3		0
vo_eny_eny_	daimyo_	detect_corpse_male_00	vo_eny_eny_daimyo_detect_corpse_male_00	omuk		Daimyo	furious	sees a corpse	Thằng này đã chết!	He's dead!	2		0
vo_eny_eny_	daimyo_	detect_corpse_male_01	vo_eny_eny_daimyo_detect_corpse_male_01	omuk		Daimyo	furious	sees a corpse	Chúng đã giết thằng này!	Someone killed him!	3		0
vo_eny_eny_	daimyo_	detect_corpse_neutral_00	vo_eny_eny_daimyo_detect_corpse_neutral_00	omuk	hambo	Daimyo	furious	sees a corpse	Có người chết!	Murder!	1		0
vo_eny_eny_	daimyo_	detect_corpse_neutral_01	vo_eny_eny_daimyo_detect_corpse_neutral_01	omuk	hambo	Daimyo	furious	sees a corpse	Sát thủ!	Assassins!	1		0
vo_eny_eny_	daimyo_	detect_player_00	vo_eny_eny_daimyo_detect_player_00	omuk	hambo	Daimyo	agressive	sees a player character	Tao thấy mày rồi!	I see you!	3		0
vo_eny_eny_	daimyo_	detect_player_01	vo_eny_eny_daimyo_detect_player_01	omuk	hambo	Daimyo	agressive	sees a player character	Hắn ở đây!	You there!	2		0
