2,3,9													
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	EN	EN	CEN	JP	CDE
vo_eny_eny_	general_	death_scream_00	vo_eny_eny_general_death_scream_00	omuk	hambo	General	shocked	(sound) being wounded			0		0
vo_eny_eny_	general_	death_scream_01	vo_eny_eny_general_death_scream_01	omuk	hambo	General	shocked	(sound) being wounded			0		0
vo_eny_eny_	general_	death_scream_02	vo_eny_eny_general_death_scream_02	omuk	hambo	General	shocked	(sound) being wounded			0		0
vo_eny_eny_	general_	death_scream_03	vo_eny_eny_general_death_scream_03	omuk	hambo	General	shocked	(sound) being wounded			0		0
vo_eny_eny_	general_	death_scream_muffled_00	vo_eny_eny_general_death_scream_muffled_00	omuk	hambo	General	struggling	(sound) being wounded			0		0
vo_eny_eny_	general_	death_scream_muffled_01	vo_eny_eny_general_death_scream_muffled_01	omuk	hambo	General	struggling	(sound) being wounded			0		0
vo_eny_eny_	general_	death_scream_muffled_02	vo_eny_eny_general_death_scream_muffled_02	omuk	hambo	General	struggling	(sound) being wounded			0		0
vo_eny_eny_	general_	death_scream_muffled_03	vo_eny_eny_general_death_scream_muffled_03	omuk	hambo	General	struggling	(sound) being wounded			0		0
vo_eny_eny_	general_	death_scream_muffled_04	vo_eny_eny_general_death_scream_muffled_04	omuk	hambo	General	struggling	(sound) being wounded			0		0
vo_eny_eny_	general_	detect_corpse_female_00	vo_eny_eny_general_detect_corpse_female_00	omuk		General	furious	sees a corpse	Ả ta đã chết!	She's dead!	2		0
vo_eny_eny_	general_	detect_corpse_female_01	vo_eny_eny_general_detect_corpse_female_01	omuk		General	furious	sees a corpse	Chúng đã giết ả ta!	They killed her!	3		0
vo_eny_eny_	general_	detect_corpse_male_00	vo_eny_eny_general_detect_corpse_male_00	omuk		General	furious	sees a corpse	Thằng này đã chết!	He's dead!	2		0
vo_eny_eny_	general_	detect_corpse_male_01	vo_eny_eny_general_detect_corpse_male_01	omuk		General	furious	sees a corpse	Chúng đã giết thằng này!	They killed him!	3		0
vo_eny_eny_	general_	detect_corpse_neutral_00	vo_eny_eny_general_detect_corpse_neutral_00	omuk	hambo	General	furious	sees a corpse	Có người chết!	Murder!	1		0
vo_eny_eny_	general_	detect_corpse_neutral_01	vo_eny_eny_general_detect_corpse_neutral_01	omuk	hambo	General	furious	sees a corpse	Sát thủ!	Assassins!	1		0
vo_eny_eny_	general_	detect_lightsource_00	vo_eny_eny_general_detect_lightsource_00	omuk	hambo	General	slightly irritated	sees extiguished lamp	Lửa đã tắt…	The light went out…	4		0
vo_eny_eny_	general_	detect_lightsource_01	vo_eny_eny_general_detect_lightsource_01	omuk	hambo	General	slightly irritated	sees extiguished lamp	Gió đã thổi tắt lửa hả?	Did the wind kill the flame?	6		0
vo_eny_eny_	general_	detect_lightsource_02	vo_eny_eny_general_detect_lightsource_02	omuk	hambo	General	slightly irritated	sees extiguished lamp	Lửa cần được thắp lại.	That light should be burning.	5		0
vo_eny_eny_	general_	detect_lightsource_03	vo_eny_eny_general_detect_lightsource_03	omuk	hambo	General	slightly irritated	sees extiguished lamp	Thằng lính nào không canh chừng ngọn lửa này?	Was someone careless with the lamp?	6		0
vo_eny_eny_	general_	detect_lightsource_04	vo_eny_eny_general_detect_lightsource_04	omuk	hambo	General	slightly irritated	sees extiguished lamp	Lửa đã tàn…	The fire died…	3		0
vo_eny_eny_	general_	detect_player_00	vo_eny_eny_general_detect_player_00	omuk	hambo	General	agressive	sees a player character	Tao thấy mày rồi!	I see you!	3		0
vo_eny_eny_	general_	detect_player_01	vo_eny_eny_general_detect_player_01	omuk	hambo	General	agressive	sees a player character	Hắn ở đây!	There you are!	3		0
vo_eny_eny_	general_	detect_player_02	vo_eny_eny_general_detect_player_02	omuk	hambo	General	agressive	sees a player character	Chết đi đồ cặn bã!	Die, scum!	2		0
vo_eny_eny_	general_	detect_player_03	vo_eny_eny_general_detect_player_03	omuk	hambo	General	agressive	sees a player character	Tao đã tóm được mày!	Now I have you!	4		0
vo_eny_eny_	general_	detect_player_04	vo_eny_eny_general_detect_player_04	omuk	hambo	General	agressive	sees a player character	Mạng mày giờ thuộc về tao!	Your life is mine!	4		0
vo_eny_eny_	general_	detect_player_05	vo_eny_eny_general_detect_player_05	omuk	hambo	General	agressive	sees a player character	Tao sẽ lấy đầu mày!	I will take your head!	5		0
vo_eny_eny_	general_	detect_player_kill_00	vo_eny_eny_general_detect_player_kill_00	omuk		General	aha!	senses a player behind him and decapitates him	Ha! Thằng ngu.	Ha! You fool.	3		0
vo_eny_eny_	general_	detect_player_kill_01	vo_eny_eny_general_detect_player_kill_01	omuk		General	aha!	senses a player behind him and decapitates him	Ha! Hèn nhát!	Ha! Coward!	2		0
vo_eny_eny_	general_	detect_player_kill_02	vo_eny_eny_general_detect_player_kill_02	omuk		General	aha!	senses a player behind him and decapitates him	Ha! Kẻ yếu đuối.	Ha! Weakling.	2		0
vo_eny_eny_	general_	detect_player_kill_03	vo_eny_eny_general_detect_player_kill_03	omuk		General	aha!	senses a player behind him and decapitates him	Heh. Mày không phải samurai.	Ha! You are no samurai.	5		0
vo_eny_eny_	general_	detect_player_kill_04	vo_eny_eny_general_detect_player_kill_04	omuk		General	aha!	senses a player behind him and decapitates him	Ha! Mày không phù hợp với tao.	Ha! You are no match for me.	7		0
vo_eny_eny_	general_	detect_player_proximity_00	vo_eny_eny_general_detect_player_proximity_00	omuk	hambo	General	suspicious	senses a nearby player character	Có gì đó sai sai…	Something is wrong…	3		0
